,Date,Close,Adj_Close,PE_LTM,EPS_Est_High_NTM,EPS_Est_Low_NTM,Volume,SI_pc,Vol,n_Buys,n_Sell,n_Hold,Total_Rec,pc_Buy,pc_Sell,pc_Hold
51,3/25/2003,25.49,16.11077256,34.43454532,1.295,0.945,63608930.0,0.953692248,0.360048036,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
52,3/26/2003,25.25,15.95908227,34.11032834,1.295,0.945,51687898.0,0.953692248,0.362378753,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
53,3/27/2003,25.04,15.82635327,33.82663848,1.295,0.945,60045257.0,0.953692248,0.351444836,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
54,3/28/2003,24.67,15.59249741,33.32680396,1.295,0.945,39582173.0,0.953692248,0.356617794,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
55,3/31/2003,24.21,15.3017577,32.70538808,1.295,0.945,71461181.0,0.953692248,0.363687618,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
56,4/1/2003,24.35,15.3902437,32.89451465,1.29,0.945,49803234.0,0.953692248,0.362897646,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
57,4/2/2003,25.72,16.25614242,34.74525326,1.29,0.945,68328205.0,0.953692248,0.397383573,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
58,4/3/2003,25.73,16.26246285,34.7587623,1.29,0.945,57710342.0,0.953692248,0.395735584,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
59,4/4/2003,25.09,15.85795542,33.89418368,1.29,0.945,55755448.0,0.953692248,0.40711661,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
60,4/7/2003,25.171,15.90915089,34.00360691,1.3,0.945,65658301.0,0.953692248,0.405856626,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
61,4/8/2003,25.58,16.16765642,34.55612669,1.3,0.945,54145573.0,0.953692248,0.39355425,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
62,4/9/2003,24.57,15.52929313,33.19171355,1.3,0.945,76927109.0,0.953692248,0.42235666,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
63,4/10/2003,24.59,15.54193398,33.21873164,1.32,0.945,51638640.0,0.953692248,0.414458823,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
64,4/11/2003,24.2,15.29543727,32.69187904,1.32,0.945,71742754.0,0.953692248,0.374845252,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
65,4/14/2003,24.75,15.64306084,33.43487629,1.32,0.945,51950691.0,0.953692248,0.382545251,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
66,4/15/2003,24.61,15.55457484,36.23097726,1.13,0.965,64352120.0,0.953692248,0.350349619,11.0,0.0,3.0,14.0,0.7857142857142857,0.0,0.2142857142857142
67,4/16/2003,24.92,15.75050813,36.68736097,1.33,0.94,86373961.0,0.953692248,0.35351333,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
68,4/17/2003,25.5,16.11709299,37.54124016,1.33,0.94,58519200.0,0.953692248,0.36160595,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
69,4/21/2003,25.21,15.93380056,37.11430056,1.33,0.94,41678747.0,0.953692248,0.36323324,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
70,4/22/2003,25.74,16.26878328,37.89456948,1.33,0.94,58986853.0,0.953692248,0.368671704,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
71,4/23/2003,25.72,16.25614242,37.86512537,1.33,0.94,55821379.0,0.953692248,0.325029857,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
72,4/24/2003,25.49,16.11077256,37.5265181,1.33,0.94,51884817.0,0.953692248,0.3256529,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
73,4/25/2003,25.21,15.93380056,37.11430056,1.33,0.94,53778522.0,0.953692248,0.326278909,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
74,4/28/2003,25.74,16.26878328,37.89456948,1.33,0.94,56394043.0,0.953692248,0.332533609,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
75,4/29/2003,25.809,16.31239423,37.99615165,1.33,0.94,66023242.0,0.953692248,0.327277248,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
76,4/30/2003,25.56,16.15501556,37.62957249,1.33,0.94,55690962.0,0.953692248,0.321382042,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
77,5/1/2003,25.71,16.24982199,37.85040331,1.33,0.94,42214792.0,0.953692248,0.321392822,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
78,5/2/2003,26.13,16.51527999,38.46872962,1.33,0.94,52815510.0,0.953692248,0.265466545,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
79,5/5/2003,25.86,16.34462842,38.07123414,1.33,0.94,50537557.0,0.953692248,0.268262464,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
80,5/6/2003,26.38,16.67329071,38.83678099,1.33,0.94,54468151.0,0.953692248,0.259753428,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
81,5/7/2003,25.99,16.42679399,38.26262085,1.33,0.94,49234538.0,0.953692248,0.26651305,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
82,5/8/2003,25.75,16.2751037,37.90929153,1.33,0.94,46541276.0,0.953692248,0.263493846,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
83,5/9/2003,26.35,16.65432942,38.79261483,1.33,0.94,59018779.0,0.953692248,0.229689364,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
84,5/12/2003,26.21,16.56584342,38.58650606,1.33,0.94,54013255.0,0.953692248,0.231515076,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
85,5/13/2003,25.99,16.42679399,38.26262085,1.33,0.94,44622196.0,0.953692248,0.225080189,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
86,5/14/2003,25.63,16.19925856,37.73262687,1.33,0.94,45131526.0,0.953692248,0.221522012,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125
